asset,model,target,MAE,RMSE,QLIKE
nestleind,EGARCH,realized_var_proxy,0.0001749087860822,0.0002773136072741,1871.613724544094
nestleind,EWMA,realized_var_proxy,0.0001551207102117,0.0002758405772311,1315.5159406092212
nestleind,GARCH,realized_var_proxy,0.0001744622881038,0.0002768037189345,1809.9604846754744
nestleind,GJR-GARCH,realized_var_proxy,0.0001755524467774,0.0002770959277501,1823.8203594399365
nestleind,STATIC_INVERSE_RMSE,realized_var_proxy,0.00016900734227518594,0.0002759012768093952,1701.6660089060722
nifty50,EGARCH,parkinson_var_proxy,5.34813441005382e-05,0.000105971751947,1.5910290953310893
nifty50,EWMA,parkinson_var_proxy,5.0350026652633e-05,0.0001063660067725,1.5353602711724097
nifty50,GARCH,parkinson_var_proxy,5.3744575221459175e-05,0.0001074025965225,1.738279974790814
nifty50,GJR-GARCH,parkinson_var_proxy,5.388751755015581e-05,0.0001117790432074,1.6432785820882134
nifty50,STATIC_INVERSE_RMSE,parkinson_var_proxy,5.208271309800252e-05,0.00010641007202553065,1.6027366527726994
nifty50,EGARCH,realized_var_proxy,8.012759662770851e-05,0.0001853126150005,7113.361647236201
nifty50,EWMA,realized_var_proxy,7.962603315701145e-05,0.0001875615103385,4715.836489763281
nifty50,GARCH,realized_var_proxy,8.167820600342131e-05,0.000186764580761,4989.394527812106
nifty50,GJR-GARCH,realized_var_proxy,8.075911388214458e-05,0.0001875540027892,6220.369492379193
nifty50,STATIC_INVERSE_RMSE,realized_var_proxy,7.98988823550382e-05,0.00018595204754888554,5740.6754639296705
sunpharma,EGARCH,parkinson_var_proxy,0.000199353706995,0.0002378003597819,1.5520701872796312
sunpharma,EWMA,parkinson_var_proxy,0.0001066907292225,0.0001903081356055,0.4282978402772049
sunpharma,GARCH,parkinson_var_proxy,0.0002089472116645,0.0002449884189741,1.674734551411123
sunpharma,GJR-GARCH,parkinson_var_proxy,0.0002082541555211,0.0002443614286878,1.674879093579554
sunpharma,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.00016519591708730714,0.00021188502681645198,1.163858133124181
sunpharma,EGARCH,realized_var_proxy,0.0002680784662961,0.0003418168153964,1966.0335218039863
