asset,model,target,MAE,RMSE,QLIKE,n_observations
hindunilvr,GJR-GARCH,realized_var_proxy,0.00019214551101368055,0.0003785307890682782,1016.8249975433997,987
hindunilvr,EWMA,parkinson_var_proxy,0.00011287576387079543,0.00019972847022966723,0.6681610457359131,987
hindunilvr,GARCH,parkinson_var_proxy,0.00011654757067919457,0.00019582033155977655,0.8193941069308215,987
hindunilvr,EGARCH,parkinson_var_proxy,0.00011449706689629109,0.00019527142336113267,0.7736634107416356,987
hindunilvr,GJR-GARCH,parkinson_var_proxy,0.00011980524773056638,0.00019918062666273448,0.8679703421807236,987
nestleind,EWMA,realized_var_proxy,0.00015512071021179827,0.0002758405772311982,1315.5159406092212,987
nestleind,GARCH,realized_var_proxy,0.00017446228810380775,0.00027680371893458726,1809.9604846754742,987
nestleind,EGARCH,realized_var_proxy,0.0001749087860822854,0.0002773136072741786,1871.6137245440939,987
nestleind,GJR-GARCH,realized_var_proxy,0.00017555244677743353,0.00027709592775018553,1823.8203594399363,987
nestleind,EWMA,parkinson_var_proxy,9.801431976943553e-05,0.0001752389069492362,0.44545139701441006,987
nestleind,GARCH,parkinson_var_proxy,0.00011233994751410369,0.0001747250106264641,0.6722636852521038,987
nestleind,EGARCH,parkinson_var_proxy,0.00011319624257797124,0.0001759919762033606,0.6710010564715301,987
nestleind,GJR-GARCH,parkinson_var_proxy,0.00011389515236172547,0.0001759244654991167,0.69089057946901,987
sunpharma,EWMA,realized_var_proxy,0.0001673012119368973,0.0003000961033543828,912.7530872738403,987
sunpharma,GARCH,realized_var_proxy,0.0002762986786750511,0.000346960757539178,2015.1355656859944,987
sunpharma,EGARCH,realized_var_proxy,0.0002680784662961141,0.00034181681539647646,1966.0335218039866,987
sunpharma,GJR-GARCH,realized_var_proxy,0.0002760562236755095,0.00034669758230225007,2092.954893037118,987
sunpharma,EWMA,parkinson_var_proxy,0.00010669072922254241,0.00019030813560559783,0.42829784027720497,987
sunpharma,GARCH,parkinson_var_proxy,0.00020894721166452227,0.0002449884189741171,1.674734551411123,987
sunpharma,EGARCH,parkinson_var_proxy,0.00019935370699501956,0.00023780035978193784,1.5520701872796312,987
sunpharma,GJR-GARCH,parkinson_var_proxy,0.00020825415552111617,0.00024436142868782814,1.6748790935795541,987
