date,close,log_return,realized_var_proxy,asset,category,sector
2022-06-08,93.71678924560547,0.016935826023804383,0.0002868222031085698,tatasteel,high_beta,Metals
2022-06-09,2214.257080078125,0.019107254974444567,0.00036508719265843667,adanient,high_beta,Conglomerate / Infra
2022-06-09,35085.04296875,0.003978277971944475,1.5826695622058647e-05,banknifty,index,Banking
2022-06-09,311.74969482421875,-0.004147167309991298,1.7198996697060456e-05,dlf,high_beta,Realty
2022-06-09,2027.5267333984375,0.00029553722746728894,8.734225281905209e-08,hindunilvr,defensive,FMCG
2022-06-09,801.8136596679688,0.0026513937818917113,7.029888986654031e-06,nestleind,defensive,FMCG
2022-06-09,16478.099609375,0.007422115570615706,5.5087799543576105e-05,nifty50,index,Broad Market
2022-06-09,823.9155883789062,0.013598490736391498,0.00018491895030772537,sunpharma,defensive,Pharma
2022-06-09,90.10350799560547,-0.03931825571818886,0.0015459252327208908,tatasteel,high_beta,Metals
2022-06-10,2198.193115234375,-0.007281231562361995,5.301633306473649e-05,adanient,high_beta,Conglomerate / Infra
2022-06-10,34483.3984375,-0.0172969098967647,0.00029918309197679663,banknifty,index,Banking
2022-06-10,309.110595703125,-0.008501477889445459,7.227512630473e-05,dlf,high_beta,Realty
2022-06-10,2029.5565185546875,0.0010006131003740821,1.001226576640233e-06,hindunilvr,defensive,FMCG
2022-06-10,802.1365356445312,0.0004026010057760182,1.6208756985186145e-07,nestleind,defensive,FMCG
2022-06-10,16201.7998046875,-0.01690986774485526,0.0002859436271484963,nifty50,index,Broad Market
2022-06-10,811.300537109375,-0.015429521938001527,0.0002380701472352704,sunpharma,defensive,Pharma
2022-06-10,88.27961730957031,-0.020449851907477508,0.00041819644303776144,tatasteel,high_beta,Metals
2022-06-13,2075.11767578125,-0.057617848351770355,0.003319816448687606,adanient,high_beta,Conglomerate / Infra
2022-06-13,33405.46484375,-0.03175849883600244,0.001008602248316368,banknifty,index,Banking
2022-06-13,295.2912902832031,-0.045736833912768664,0.0020918579763641856,dlf,high_beta,Realty
2022-06-13,2026.7886962890625,-0.001364687938815556,1.8623731703486507e-06,hindunilvr,defensive,FMCG
2022-06-13,805.9403686523438,0.004730918144893807,2.2381586493685457e-05,nestleind,defensive,FMCG
2022-06-13,15774.400390625,-0.026733937520215956,0.0007147034153348105,nifty50,index,Broad Market
